file	sex	genotype	nose.dip	bodycentre.raw.distance	bodycentre.distance.moving	bodycentre.raw.speed	bodycentre.speed.moving	bodycentre.time.moving	bodycentre.total.time	bodycentre.time.stationary	bodycentre.percentage.moving	bodycentre.center.raw.distance	bodycentre.center.distance.moving	bodycentre.center.raw.speed	bodycentre.center.speed.moving	bodycentre.center.time.moving	bodycentre.center.total.time	bodycentre.center.time.stationary	bodycentre.center.percentage.moving	bodycentre.center.transitions	bodycentre.open.raw.distance	bodycentre.open.distance.moving	bodycentre.open.raw.speed	bodycentre.open.speed.moving	bodycentre.open.time.moving	bodycentre.open.total.time	bodycentre.open.time.stationary	bodycentre.open.percentage.moving	bodycentre.open.transitions	bodycentre.closed.raw.distance	bodycentre.closed.distance.moving	bodycentre.closed.raw.speed	bodycentre.closed.speed.moving	bodycentre.closed.time.moving	bodycentre.closed.total.time	bodycentre.closed.time.stationary	bodycentre.closed.percentage.moving	bodycentre.closed.transitions	bodycentre.open.top.raw.distance	bodycentre.open.top.distance.moving	bodycentre.open.top.raw.speed	bodycentre.open.top.speed.moving	bodycentre.open.top.time.moving	bodycentre.open.top.total.time	bodycentre.open.top.time.stationary	bodycentre.open.top.percentage.moving	bodycentre.open.top.transitions	bodycentre.open.bottom.raw.distance	bodycentre.open.bottom.distance.moving	bodycentre.open.bottom.raw.speed	bodycentre.open.bottom.speed.moving	bodycentre.open.bottom.time.moving	bodycentre.open.bottom.total.time	bodycentre.open.bottom.time.stationary	bodycentre.open.bottom.percentage.moving	bodycentre.open.bottom.transitions	bodycentre.closed.left.raw.distance	bodycentre.closed.left.distance.moving	bodycentre.closed.left.raw.speed	bodycentre.closed.left.speed.moving	bodycentre.closed.left.time.moving	bodycentre.closed.left.total.time	bodycentre.closed.left.time.stationary	bodycentre.closed.left.percentage.moving	bodycentre.closed.left.transitions	bodycentre.closed.right.raw.distance	bodycentre.closed.right.distance.moving	bodycentre.closed.right.raw.speed	bodycentre.closed.right.speed.moving	bodycentre.closed.right.time.moving	bodycentre.closed.right.total.time	bodycentre.closed.right.time.stationary	bodycentre.closed.right.percentage.moving	bodycentre.closed.right.transitions
EPM_08W_2422_Lep_obcroppedDLC_resnet50_EPM_MasterthesisJun24shuffle1_1030000.csv	f	ob/ob	4	455,1174575	127,221334	1,54991642	7,757398417	16,4	293,64	277,24	5,585070154	57,36485459	2,717735568	2,069439199	4,853099228	0,56	27,72	27,16	2,02020202	19	388,3061601	124,5035985	1,480954081	7,860075661	15,84	262,2	246,36	6,041189931	11	9,446442743	0	2,539366329	NA	0	3,72	3,72	0	8	0,278139687	0	0,993356024	NA	0	0,28	0,28	0	2	9,168303057	0	2,665204377	NA	0	3,44	3,44	0	6	0	0	NA	NA	0	0	0	NA	0	388,3061601	124,5035985	1,480954081	7,860075661	15,84	262,2	246,36	6,041189931	11
EPM_08W_2423_Lep_obcroppedDLC_resnet50_EPM_MasterthesisJun24shuffle1_1030000.csv	f	ob/ob	6	942,7939795	581,076938	3,205909887	9,684615634	60	294,08	234,08	20,40261153	91,98979103	49,17064579	4,527056645	7,982247693	6,16	20,32	14,16	30,31496063	24	752,5370302	464,3872942	2,966481513	9,610664202	48,32	253,68	205,36	19,04761905	19	93,49378004	62,74561978	6,167135887	11,44993062	5,48	15,16	9,68	36,14775726	6	59,51651828	38,12388261	4,959709857	7,748756628	4,92	12	7,08	41	2	33,97726176	24,62173717	10,75229802	43,9673878	0,56	3,16	2,6	17,72151899	4	388,3629404	242,2321605	2,959181198	9,374309618	25,84	131,24	105,4	19,68911917	11	364,1740898	222,1551337	2,974306516	9,882345806	22,48	122,44	99,96	18,36001307	8
EPM_08W_2424_Lep_obcroppedDLC_resnet50_EPM_MasterthesisJun24shuffle1_1030000.csv	f	ob/ob	9	1401,738068	995,5879751	4,765871305	10,18400138	97,76	294,12	196,36	33,23813409	147,2278495	99,55543735	4,355853535	8,523581965	11,68	33,8	22,12	34,55621302	33	1120,609719	826,1210456	4,881554798	10,56420774	78,2	229,56	151,36	34,06516815	27	133,9004992	69,91149219	4,353072146	8,872016775	7,88	30,76	22,88	25,61768531	6	21,71494181	5,782470518	2,769762986	6,570989225	0,88	7,84	6,96	11,2244898	2	112,1855574	64,12902167	4,894657827	9,16128881	7	22,92	15,92	30,54101222	4	504,021969	364,4214187	4,677264003	10,63072983	34,28	107,76	73,48	31,81143281	13	616,5877505	461,6996268	5,062296802	10,51228659	43,92	121,8	77,88	36,0591133	14
EPM_08W_2425_Lep_obcroppedDLC_resnet50_EPM_MasterthesisJun24shuffle1_1030000.csv	f	ob/ob	7	1040,14222	601,1102907	3,513993987	9,21383033	65,24	296	230,76	22,04054054	115,3263629	53,49117288	3,306375083	8,357995763	6,4	34,88	28,48	18,34862385	28	845,2724803	520,1629704	3,52490609	9,492025007	54,8	239,8	185	22,85237698	20	79,54337705	27,45614746	3,730927629	6,796076104	4,04	21,32	17,28	18,94934334	8	34,14803741	8,488887158	3,527689815	6,84587674	1,24	9,68	8,44	12,80991736	4	45,39533964	18,9672603	3,899943268	6,774021537	2,8	11,64	8,84	24,05498282	4	479,4235351	286,8333944	3,429352898	9,337024556	30,72	139,8	109,08	21,97424893	10	365,8489452	233,329576	3,658489452	9,689766446	24,08	100	75,92	24,08	10
EPM_08W_2442_Lep_obcroppedDLC_resnet50_EPM_MasterthesisJun24shuffle1_1030000.csv	f	ob/ob	8	810,3233531	352,0834639	2,761461808	8,936128526	39,4	293,44	254,04	13,42693566	152,3341122	51,58282432	3,620107228	7,585709458	6,8	42,08	35,28	16,15969582	24	557,5382326	242,1369992	2,438071684	8,647749972	28	228,68	200,68	12,24418401	11	100,4510083	58,3636404	4,885749431	12,68774791	4,6	20,56	15,96	22,37354086	14	1,63946932	0,85219633	4,098673299	10,65245412	0,08	0,4	0,32	20	2	98,81153899	57,51144407	4,901366021	12,72377081	4,52	20,16	15,64	22,42063492	12	328,4787738	116,4749952	2,004875328	8,46475256	13,76	163,84	150,08	8,3984375	5	229,0594588	125,662004	3,53268752	8,824578932	14,24	64,84	50,6	21,961752	6
EPM_08W_2443_Lep_obcroppedDLC_resnet50_EPM_MasterthesisJun24shuffle1_1030000.csv	f	ob/ob	23	842,3379246	370,9775415	2,87134553	8,757732329	42,36	293,36	251	14,4395964	282,4983133	71,14216331	2,244187427	7,536246113	9,44	125,88	116,44	7,499205593	34	304,8022422	188,1709727	4,601483124	8,909610452	21,12	66,24	45,12	31,88405797	11	237,6148255	94,24186177	2,360099578	8,384507275	11,24	100,68	89,44	11,16408423	25	50,20638282	18,93460305	3,017210506	8,304650461	2,28	16,64	14,36	13,70192308	12	187,4084427	75,30725872	2,229990988	8,404827982	8,96	84,04	75,08	10,66158972	13	110,0629321	65,39930411	4,948872844	8,885775015	7,36	22,24	14,88	33,09352518	4	194,7393101	122,7716686	4,425893411	8,922359639	13,76	44	30,24	31,27272727	7
EPM_08W_2451_Lep_obcroppedDLC_resnet50_EPM_MasterthesisJun24shuffle1_1030000.csv	f	ob/ob	3	315,7319295	54,77873156	1,085138608	7,207727837	7,6	290,96	283,36	2,612042892	134,8076834	1,09650312	0,879257001	6,853144499	0,16	153,32	153,16	0,104356901	15	172,184181	53,68222844	1,28880375	7,215353285	7,44	133,6	126,16	5,568862275	9	8,740065004	0	2,163382427	NA	0	4,04	4,04	0	6	0	0	NA	NA	0	0	0	NA	0	8,740065004	0	2,163382427	NA	0	4,04	4,04	0	6	8,526656693	6,258804059	5,465805573	7,450957214	0,84	1,56	0,72	53,84615385	2	163,6575243	47,42342438	1,239454138	7,18536733	6,6	132,04	125,44	4,998485307	7
EPM_08W_2465_Lep_obcroppedDLC_resnet50_EPM_MasterthesisJun24shuffle1_1030000.csv	f	ob/ob	21	1751,223744	1292,631256	6,015470404	11,13953168	116,04	291,12	175,08	39,85985161	286,0380847	170,6333095	4,523056368	8,63528894	19,76	63,24	43,48	31,24604681	64	1121,16936	891,1593859	7,299279688	12,38409374	71,96	153,6	81,64	46,84895833	38	344,0162991	230,838561	4,631344899	9,491717147	24,32	74,28	49,96	32,74098008	26	178,5449313	120,9031004	4,508710385	9,813563346	12,32	39,6	27,28	31,11111111	12	165,4713679	109,9354606	4,77137739	9,161288383	12	34,68	22,68	34,60207612	14	440,4007634	364,0891042	8,018950536	12,10402607	30,08	54,92	24,84	54,77057538	16	680,7685967	527,0702816	6,89874946	12,58525028	41,88	98,68	56,8	42,44021078	22
EPM_08W_2476_Lep_obcroppedDLC_resnet50_EPM_MasterthesisJun24shuffle1_1030000.csv	f	ob/ob	6	860,1797185	437,5192846	2,945820954	8,771437142	49,88	292	242,12	17,08219178	156,3536241	45,8296437	2,51696111	6,779533092	6,76	62,12	55,36	10,88216355	35	680,5507316	386,4224729	3,074962641	9,122343554	42,36	221,32	178,96	19,13970721	21	23,27536271	5,267167991	2,719084429	6,930484198	0,76	8,56	7,8	8,878504673	14	11,88945363	0,935230373	2,497784375	5,84518983	0,16	4,76	4,6	3,361344538	8	11,38590908	4,331937618	2,996291864	7,21989603	0,6	3,8	3,2	15,78947368	6	421,9433636	251,812336	3,326579656	8,804627133	28,6	126,84	98,24	22,54809208	13	258,607368	134,610137	2,737165199	9,782713441	13,76	94,48	80,72	14,56392887	8
EPM_08W_2480_Lep_obcroppedDLC_resnet50_EPM_MasterthesisJun24shuffle1_1030000.csv	f	ob/ob	15,5	1123,711457	706,2029293	3,868996892	10,08861328	70	290,44	220,44	24,10136345	77,38698199	46,50400012	4,499243139	9,769747924	4,76	17,2	12,44	27,6744186	21	827,1962503	532,011392	4,012399352	10,12198234	52,56	206,16	153,6	25,49476135	18	217,815837	127,6875372	3,282336302	10,06999504	12,68	66,36	53,68	19,10789632	5	183,6454199	115,9554201	4,327177661	10,06557466	11,52	42,44	30,92	27,14420358	3	34,17041706	11,73211709	1,428529141	10,11389404	1,16	23,92	22,76	4,849498328	2	270,9211349	196,642466	5,818752897	10,11535319	19,44	46,56	27,12	41,75257732	6	556,2751154	335,3689261	3,485433054	10,12587337	33,12	159,6	126,48	20,7518797	12
