file;sex;genotype;nose.dip;bodycentre.raw.distance;bodycentre.distance.moving;bodycentre.raw.speed;bodycentre.speed.moving;bodycentre.time.moving;bodycentre.total.time;bodycentre.time.stationary;bodycentre.percentage.moving;bodycentre.center.raw.distance;bodycentre.center.distance.moving;bodycentre.center.raw.speed;bodycentre.center.speed.moving;bodycentre.center.time.moving;bodycentre.center.total.time;bodycentre.center.time.stationary;bodycentre.center.percentage.moving;bodycentre.center.transitions;bodycentre.open.raw.distance;bodycentre.open.distance.moving;bodycentre.open.raw.speed;bodycentre.open.speed.moving;bodycentre.open.time.moving;bodycentre.open.total.time;bodycentre.open.time.stationary;bodycentre.open.percentage.moving;bodycentre.open.transitions;bodycentre.closed.raw.distance;bodycentre.closed.distance.moving;bodycentre.closed.raw.speed;bodycentre.closed.speed.moving;bodycentre.closed.time.moving;bodycentre.closed.total.time;bodycentre.closed.time.stationary;bodycentre.closed.percentage.moving;bodycentre.closed.transitions;bodycentre.open.top.raw.distance;bodycentre.open.top.distance.moving;bodycentre.open.top.raw.speed;bodycentre.open.top.speed.moving;bodycentre.open.top.time.moving;bodycentre.open.top.total.time;bodycentre.open.top.time.stationary;bodycentre.open.top.percentage.moving;bodycentre.open.top.transitions;bodycentre.open.bottom.raw.distance;bodycentre.open.bottom.distance.moving;bodycentre.open.bottom.raw.speed;bodycentre.open.bottom.speed.moving;bodycentre.open.bottom.time.moving;bodycentre.open.bottom.total.time;bodycentre.open.bottom.time.stationary;bodycentre.open.bottom.percentage.moving;bodycentre.open.bottom.transitions;bodycentre.closed.left.raw.distance;bodycentre.closed.left.distance.moving;bodycentre.closed.left.raw.speed;bodycentre.closed.left.speed.moving;bodycentre.closed.left.time.moving;bodycentre.closed.left.total.time;bodycentre.closed.left.time.stationary;bodycentre.closed.left.percentage.moving;bodycentre.closed.left.transitions;bodycentre.closed.right.raw.distance;bodycentre.closed.right.distance.moving;bodycentre.closed.right.raw.speed;bodycentre.closed.right.speed.moving;bodycentre.closed.right.time.moving;bodycentre.closed.right.total.time;bodycentre.closed.right.time.stationary;bodycentre.closed.right.percentage.moving;bodycentre.closed.right.transitions
EPM_08W_2540_Lep_obcroppedDLC_resnet50_EPM_MasterthesisJun24shuffle1_1030000.csv;m;ob/ob;14;1553,987269;1113,55777;5,336494741;10,99918777;101,24;291,2;189,96;34,76648352;250,0934671;115,8906093;3,23285247;8,726702511;13,28;77,36;64,08;17,16649431;50;1102,022038;870,0896687;6,608431506;11,73893239;74,12;166,76;92,64;44,44710962;33;193,4845196;119,1902481;4,254277037;8,921425755;13,36;45,48;32,12;29,37554969;18;108,5892178;70,11437994;5,093302899;9,684306621;7,24;21,32;14,08;33,9587242;6;84,89530183;49,07586814;3,513878387;8,018932703;6,12;24,16;18,04;25,33112583;12;540,0886747;451,2414961;7,92383619;12,13014774;37,2;68,16;30,96;54,57746479;14;561,9333633;418,8481727;5,699121332;11,34475007;36,92;98,6;61,68;37,44421907;19
EPM_08W_2545_Lep_obcroppedDLC_resnet50_EPM_MasterthesisJun24shuffle1_1030000.csv;m;ob/ob;16;1010,617964;483,5911644;3,425823606;9,00206933;53,72;295;241,28;18,21016949;294,24854;77,99336596;2,318378034;7,275500556;10,72;126,92;116,2;8,446265364;42;437,9158743;261,9870551;4,5826274;9,969066024;26,28;95,56;69,28;27,50104646;20;278,4535493;143,6107434;3,839679389;8,589159292;16,72;72,52;55,8;23,05570877;22;140,1164545;60,8242254;3,513451717;8,739112845;6,96;39,88;32,92;17,45235707;9;138,3370948;82,78651796;4,238268837;8,482225201;9,76;32,64;22,88;29,90196078;13;251,935761;150,8067109;4,764292;10,08066249;14,96;52,88;37,92;28,29046899;8;185,9801134;111,1803443;4,357547174;9,821585181;11,32;42,68;31,36;26,52296157;12
EPM_08W_2546_Lep_obcroppedDLC_resnet50_EPM_MasterthesisJun24shuffle1_1030000.csv;m;ob/ob;8;894,0962598;470,1043644;3,036186701;9,462648236;49,68;294,48;244,8;16,87041565;168,0411158;55,66918672;1,883869011;7,442404641;7,48;89,2;81,72;8,385650224;28;649,244779;374,9025114;3,490563328;9,834798306;38,12;186;147,88;20,49462366;17;76,81036498;39,53266624;4,025700471;9,689378981;4,08;19,08;15;21,3836478;14;39,80034732;18,48696138;3,712718967;6,898119916;2,68;10,72;8,04;25;4;37,01001766;21,04570487;4,427035605;15,03264633;1,4;8,36;6,96;16,74641148;10;372,8210218;222,8793403;3,394219062;10,18644151;21,88;109,84;87,96;19,91988347;9;276,4237572;152,0231711;3,629513619;9,361032704;16,24;76,16;59,92;21,32352941;8
EPM_08W_2549_Lep_obcroppedDLC_resnet50_EPM_MasterthesisJun24shuffle1_1030000.csv;m;ob/ob;20;1447,93941;1016,304094;4,947852003;11,3782366;89,32;292,64;203,32;30,52214325;207,862182;94,95311316;3,093187232;8,600825467;11,04;67,2;56,16;16,42857143;53;1043,208417;830,2430673;7,071640568;12,20227906;68,04;147,52;79,48;46,12255965;30;196,8688115;91,10791308;2,526550456;8,897257136;10,24;77,92;67,68;13,14168378;23;34,14263814;8,480970565;2,602335224;6,839492391;1,24;13,12;11,88;9,451219512;7;162,7261734;82,62694251;2,511206379;9,18077139;9;64,8;55,8;13,88888889;16;457,9644027;363,3726445;6,880474801;11,92167469;30,48;66,56;36,08;45,79326923;14;585,2440139;466,8704228;7,228804519;12,42998996;37,56;80,96;43,4;46,39328063;16
EPM_08W_2550_Lep_obcroppedDLC_resnet50_EPM_MasterthesisJun24shuffle1_1030000.csv;m;ob/ob;8;1188,85949;755,2632943;4,047043472;10,42605321;72,44;293,76;221,32;24,65958606;235,6893565;107,5804943;2,91839223;8,30096407;12,96;80,76;67,8;16,04754829;42;772,7014762;544,9385308;4,628063466;11,02221947;49,44;166,96;117,52;29,61188309;27;168,4626355;90,73824723;3,743614123;9,147000729;9,92;45;35,08;22,04444444;16;101,3185039;50,24757758;3,127114319;7,706683678;6,52;32,4;25,88;20,12345679;8;67,1441316;40,49066965;5,328899334;11,90902049;3,4;12,6;9,2;26,98412698;8;475,5763976;330,0384791;4,296859393;10,8138427;30,52;110,68;80,16;27,57499096;15;297,1250786;214,9000518;5,279407935;11,35835369;18,92;56,28;37,36;33,61762615;12
EPM_24W_2508_Lep_obcroppedDLC_resnet50_EPM_MasterthesisJun24shuffle1_1030000.csv;m;ob/ob;8;281,4981869;12,3662727;0,965092522;7,189693431;1,72;291,68;289,96;0,589687329;210,1242007;8,607945565;0,961578806;7,685665683;1,12;218,52;217,4;0,512538898;7;4,030832679;1,858477612;1,832196672;6,637420042;0,28;2,2;1,92;12,72727273;2;67,34315345;1,899849525;0,949029784;5,937029765;0,32;70,96;70,64;0,450958286;5;0;0;NA;NA;0;0;0;NA;0;67,34315345;1,899849525;0,949029784;5,937029765;0,32;70,96;70,64;0,450958286;5;3,898500933;1,858477612;1,874279295;6,637420042;0,28;2,08;1,8;13,46153846;2;0,132331746;0;1,102764553;NA;0;0,12;0,12;0;0
EPM_24W_2514_Lep_obcroppedDLC_resnet50_EPM_MasterthesisJun24shuffle1_1030000.csv;m;ob/ob;3;313,5991299;55,8874955;1,076180954;6,498545988;8,6;291,4;282,8;2,951269732;52,76740113;7,028028147;2,398518233;6,058644954;1,16;22;20,84;5,272727273;5;258,6891399;48,85946735;0,964106812;6,567132709;7,44;268,32;260,88;2,772808587;3;2,142588859;0;1,983878574;NA;0;1,08;1,08;0;2;0;0;NA;NA;0;0;0;NA;0;2,142588859;0;1,983878574;NA;0;1,08;1,08;0;2;183,1828505;35,23614621;0,777120527;6,936249254;5,08;235,72;230,64;2,15509927;2;75,50628937;13,62332114;2,316143846;5,772593704;2,36;32,6;30,24;7,239263804;1
EPM_24W_2518_Lep_obcroppedDLC_resnet50_EPM_MasterthesisJun24shuffle1_1030000.csv;m;ob/ob;1;236,0428151;16,92858666;0,802430021;15,67461728;1,08;294,16;293,08;0,367147131;24,55026109;4,476696847;1,888481622;12,43526902;0,36;13;12,64;2,769230769;2;3,461298809;3,461298809;14,42207837;14,42207837;0,24;0,24;0;100;2;205,0343915;5,993727338;0,731638565;18,73039793;0,32;280,24;279,92;0,114187839;3;199,0406642;0;0,711062676;NA;0;279,92;279,92;0;1;5,993727338;5,993727338;18,73039793;18,73039793;0,32;0,32;0;100;2;3,461298809;3,461298809;14,42207837;14,42207837;0,24;0,24;0;100;2;0;0;NA;NA;0;0;0;NA;0
EPM_24W_2539_Lep_obcroppedDLC_resnet50_EPM_MasterthesisJun24shuffle1_1030000.csv;m;ob/ob;11;1057,243876;581,6698607;3,646674516;9,180395529;63,36;289,92;226,56;21,85430464;164,3992428;56,2366351;3,272277921;7,322478529;7,68;50,24;42,56;15,2866242;33;854,0350729;521,6206191;3,804504067;9,449648897;55,2;224,48;169,28;24,59016393;21;38,80956;3,812606469;2,553260527;7,942930144;0,48;15,2;14,72;3,157894737;12;5,553343195;0;2,103539089;NA;0;2,64;2,64;0;6;33,25621681;3,812606469;2,647787963;7,942930144;0,48;12,56;12,08;3,821656051;6;345,8944356;229,7002984;4,119752687;9,63507963;23,84;83,96;60,12;28,39447356;8;508,1406373;291,9203207;3,616144587;9,308683697;31,36;140,52;109,16;22,31710788;13
EPM_40W_2472_Lep_obcroppedDLC_resnet50_EPM_MasterthesisJun24shuffle1_1030000.csv;m;ob/ob;3;611,9797949;265,4379713;2,085536378;8,789336797;30,2;293,44;263,24;10,2917121;79,38796849;13,21245084;1,957297054;8,056372465;1,64;40,56;38,92;4,043392505;12;502,0521264;221,8223712;1,997978854;7,88842003;28,12;251,28;223,16;11,1907036;11;30,5397;30,40314917;58,73019231;69,0980663;0,44;0,52;0,08;84,61538462;2;0;0;NA;NA;0;0;0;NA;0;30,5397;30,40314917;58,73019231;69,0980663;0,44;0,52;0,08;84,61538462;2;356,7420529;148,6313007;1,75873621;7,973782226;18,64;202,84;184,2;9,189508973;6;145,3100735;73,19107056;2,999795076;7,720577064;9,48;48,44;38,96;19,57060281;5
EPM_40W_2477_Lep_obcroppedDLC_resnet50_EPM_MasterthesisJun24shuffle1_1030000.csv;m;ob/ob;2;352,9071653;46,88828192;1,206272783;6,512261377;7,2;292,56;285,36;2,461033634;22,20834049;2,900680623;1,228337417;6,04308463;0,48;18,08;17,6;2,654867257;18;310,0708692;42,49238839;1,175401324;6,681193143;6,36;263,8;257,44;2,410917362;17;20,62795557;1,495212907;1,931456514;4,153369186;0,36;10,68;10,32;3,370786517;1;0;0;NA;NA;0;0;0;NA;0;20,62795557;1,495212907;1,931456514;4,153369186;0,36;10,68;10,32;3,370786517;1;214,6678407;26,09595169;1,274749648;6,725760745;3,88;168,4;164,52;2,304038005;14;95,40302853;16,39643669;1,000031746;6,611466409;2,48;95,4;92,92;2,599580713;3
EPM_40W_2483_Lep_obcroppedDLC_resnet50_EPM_MasterthesisJun24shuffle1_1030000.csv;m;ob/ob;0;195,919261;5,230938163;0,661889395;10,89778784;0,48;296;295,52;0,162162162;174,9573846;5,230938163;0,688158372;10,89778784;0,48;254,24;253,76;0,188797986;66;20,96187641;0;0,501960642;NA;0;41,76;41,76;0;66;0;0;NA;NA;0;0;0;NA;0;0;0;NA;NA;0;0;0;NA;0;0;0;NA;NA;0;0;0;NA;0;0;0;NA;NA;0;0;0;NA;0;20,96187641;0;0,501960642;NA;0;41,76;41,76;0;66
EPM_40W_2500_Lep_obcroppedDLC_resnet50_EPM_MasterthesisJun24shuffle1_1030000.csv;m;ob/ob;0;401,5505636;72,84370327;1,378761721;6,695193315;10,88;291,24;280,36;3,735750584;143,203229;9,250165748;0,939653734;7,226691991;1,28;152,4;151,12;0,839895013;6;207,2174762;59,64102571;2,563303763;6,626780635;9;80,84;71,84;11,13310242;3;51,1298584;3,952511807;0,881549283;6,587519678;0,6;58;57,4;1,034482759;3;0;0;NA;NA;0;0;0;NA;0;51,1298584;3,952511807;0,881549283;6,587519678;0,6;58;57,4;1,034482759;3;128,7940887;36,10321977;2,683210181;6,44700353;5,6;48;42,4;11,66666667;2;78,42338747;23,53780595;2,388044686;6,922884102;3,4;32,84;29,44;10,35322777;1
EPM_40W_2505_Lep_obcroppedDLC_resnet50_EPM_MasterthesisJun24shuffle1_1030000.csv;m;ob/ob;0;418,2113126;64,31813213;1,440319991;6,305699229;10,2;290,36;280,16;3,512880562;50,51145524;2,186593001;2,16973605;6,833103127;0,32;23,28;22,96;1,374570447;9;367,6998574;62,13153913;1,376740517;6,288617321;9,88;267,08;257,2;3,699266137;9;0;0;NA;NA;0;0;0;NA;0;0;0;NA;NA;0;0;0;NA;0;0;0;NA;NA;0;0;0;NA;0;367,6998574;62,13153913;1,376740517;6,288617321;9,88;267,08;257,2;3,699266137;9;0;0;NA;NA;0;0;0;NA;0
